publish_date,title,reads,dwell_seconds,completion_rate_pct,follows,shares,watching,likes,bookmarks,comments,delivered,push_reads,share_reads,engagement_rate_pct,share_rate_pct,follow_rate_pct,viral_coefficient_pct,push_open_rate_pct,share_efficiency,channel_chat_pct,channel_moments_pct,channel_push_pct,channel_recommend_pct,channel_search_pct,channel_profile_pct,score_overall,score_rating,score_spread,score_engagement,score_reach,score_depth,score_growth,primary_bottleneck,female_pct,age_26_35_pct,region_beijing_pct
2026-02-13,我们在用 AI 给幸福加外挂。,1512,39,,79,58,32,40,0,5,2,2,1496,5.09,3.84,5.22,98.9,100.0,25.8,32.9,60.1,0.3,0.7,0.2,5.3,3.0,优秀,2,3,4,,4,推荐流量,43.12,43.06,55.62
2026-02-15,可可上线第三天,489,31,,33,7,12,10,0,1,93,11,467,4.7,1.43,6.75,95.5,11.8,66.7,46.8,44.6,2.2,0.2,1.0,5.3,2.12,一般,1,2,3,,4,传播力,33.95,51.53,51.33
2026-02-17,连群红包都没了，你的年味还剩什么,225,70,52.0,1,3,6,9,0,2,141,15,189,7.56,1.33,0.44,84.0,10.6,63.0,38.5,42.3,6.4,9.0,0.4,3.4,2.1,一般,1,3,3,3,0,传播力,34.22,57.78,53.78
2026-02-20,同一个人用不同的 AI，产出差了 140 倍,858,90,58.6,16,59,12,26,10,6,145,11,850,6.29,6.88,1.86,99.1,7.6,14.4,85.5,11.4,1.3,0.2,0.0,1.4,2.7,优秀,3,3,2,3,2,推荐流量,18.18,41.84,46.74
